id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
268,Daniel Piasecki,Daniel Piasecki,1193093337414270,Guarapuava,PR,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,61,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
233,Elpídio Araújo,Elpídio Araújo,1093657247391800,Recife,PE,77,34,SD,S,S,S,S,S,S,S,N,N,N,S,N,S,S,409,PARDA,MASCULINO,DEFERIDO,SUPLENTE
392,Andreia Grezzana,Andreia Grezzana,1078229298893025,Porto Alegre,RS,51,26,PEN,S,S,S,S,N,N,S,N,S,N,S,N,N,S,106,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
42,BRUNO SIEBRA,Bruno Siebra,1090984290979270,Várzea Alegre,CE,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,205,PARDA,MASCULINO,DEFERIDO,NÃO ELEITO
189,Genilson Monteiro,Genilson Monteiro da Silva,860548997412347,Recife,PE,36,38,PTC,N,S,S,S,S,S,S,N,S,N,S,S,S,S,362,PRETA,MASCULINO,DEFERIDO,SUPLENTE
160,BELLA GONÇALVES,Isabella Gonçalves,10154283834831311,Belo Horizonte,MG,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,3422,BRANCA,FEMININO,DEFERIDO,SUPLENTE
526,FRANCISCO VINICIUS,Francisco Vinicius,1475927182421114,São Paulo,SP,18,73,REDE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,719,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
817,Madalena Buzzo,Madalena Buzzo,1212975978773928,São Paulo,SP,18,73,REDE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,700,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
509,Douglas Negro Belchior,Douglas Belchior,10205420705712145,São Paulo,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,10557,PRETA,MASCULINO,DEFERIDO,SUPLENTE
67,Marlene Alves,Marlene Alves,1053362028117867,Presidente Dutra,MA,10,14,PRB,N,S,S,S,S,N,S,N,S,N,S,N,S,S,151,BRANCA,FEMININO,DEFERIDO,SUPLENTE
573,Edson Jóia,Edson Jóia,832330280203291,Campinas,SP,12,52,PDT,S,S,S,N,S,S,S,S,S,N,S,S,S,S,52,PRETA,MASCULINO,DEFERIDO,NÃO ELEITO
198,marthinha,Martha Andreza,1199771033429911,Recife,PE,33,38,PMN,S,S,S,S,N,N,S,N,N,S,S,N,S,S,54,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
298,Prof. Vinicius Coca,Vinicius Coca,1148690795201258,Rio de Janeiro,RJ,33,38,PMN,S,S,S,S,S,S,S,S,S,N,S,S,S,S,1579,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
821,Livia Lazaneo,Livia Lazaneo,1517960508219827,Limeira,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,942,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
353,Jefferson Moura,Jefferson Moura,182047205563368,Rio de Janeiro,RJ,18,73,REDE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,5746,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
742,JOSIAS JANUARIO  PARAQUEDISTA,Josias Januario,1660836104230299,São Paulo,SP,22,15,PR,S,S,S,S,S,S,S,S,S,N,S,S,S,S,108,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
228,Érico Santos,Érico Santos,10208893564874667,Recife,PE,23,68,PPS,S,S,N,S,S,S,S,N,S,S,S,S,S,S,502,PARDA,MASCULINO,DEFERIDO,SUPLENTE
308,Binho Cultura,Binho Alves,586605908190266,Rio de Janeiro,RJ,12,52,PDT,S,S,S,S,S,S,S,N,S,N,S,S,S,S,1759,PRETA,MASCULINO,DEFERIDO,SUPLENTE
331,Guilherme Zugliani,Guilherme Zugliani,10201982812890117,Rio de Janeiro,RJ,43,51,PV,S,S,S,S,S,N,S,N,N,N,N,S,S,S,765,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
342,Paulo Pinheiro,Paulo Pinheiro,1039495262835036,Rio de Janeiro,RJ,50,100,PSOL,S,S,S,S,S,N,S,S,S,S,S,S,S,S,13141,BRANCA,MASCULINO,DEFERIDO,ELEITO POR QP
380,Claudio Schneider,Claudio Villeroy Schneider,10211536585996800,Porto Alegre,RS,30,50,NOVO,S,N,N,S,N,S,S,N,S,N,N,S,S,N,772,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
9,Rodrigo Araújo,Rodrigo Araújo,1152963441450050,Manaus,AM,18,73,REDE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1023,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
408,Rodrigo Rodrigues,Rodrigo Rodrigues,1239368176154810,Porto Alegre,RS,30,50,NOVO,S,S,N,S,N,S,S,S,S,S,S,N,S,S,911,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
452,Vinícius De Franceschi,Vinícius De Franceschi,1086498301434636,Porto Alegre,RS,17,50,PSL,S,S,N,S,N,S,N,S,N,S,N,N,S,S,362,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
504,Gênys Alves Jr,Genys Alves Jr,10202403358241099,São Paulo,SP,30,50,NOVO,N,N,N,N,N,N,N,N,N,N,N,N,S,S,1415,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
313,jorge da reta,Jorge da Reta,1095199660557520,Rio de Janeiro,RJ,22,15,PR,S,S,S,S,S,N,S,N,N,S,S,S,S,S,427,PARDA,MASCULINO,DEFERIDO,NÃO ELEITO
